time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2025-01-01,4.3,-1.5,9.1,69,0.0,,11.6,,1019.2,,5
2025-01-02,8.0,5.7,11.4,48,0.0,,18.2,,1009.2,,5
2025-01-03,1.6,-2.1,5.7,78,2.0,,6.0,,1008.5,,7
2025-01-04,-1.4,-2.7,-0.1,71,0.3,,13.9,,1010.8,,6
2025-01-05,-3.4,-6.1,0.1,70,0.0,,8.7,,1020.4,,2
2025-01-06,-1.9,-6.7,2.2,88,0.1,,7.0,,1013.4,,6
2025-01-07,3.9,0.9,7.0,79,0.0,,8.5,,1011.1,,7
2025-01-08,4.3,3.2,6.0,86,4.0,,5.2,,1009.6,,7
2025-01-09,2.6,0.9,3.8,89,5.1,,4.8,,1014.6,,7
2025-01-10,5.5,2.4,8.7,96,3.3,,8.3,,1008.1,,7
2025-01-11,0.1,-2.0,2.3,88,5.7,5,7.2,,1012.1,,7
2025-01-12,-2.6,-4.5,0.5,90,0.0,4,3.1,,1018.3,,6
2025-01-13,-1.6,-4.0,-0.9,86,0.0,3,5.0,,1030.3,,7
2025-01-14,-1.7,-4.1,-0.5,74,0.0,,11.8,,1030.1,,7
2025-01-15,0.6,-0.7,1.8,74,0.0,3,6.7,,1022.4,,8
2025-01-16,0.5,0.3,0.8,88,0.0,3,6.3,,1030.3,,8
2025-01-17,1.6,0.2,2.2,91,0.0,1,10.9,,1027.7,,8
2025-01-18,3.2,1.2,6.8,87,0.0,,12.0,,1023.3,,8
2025-01-19,3.3,1.7,5.3,73,0.0,,12.5,,1023.0,,5
2025-01-20,0.4,-0.3,1.4,89,0.0,,6.8,,1024.6,,6
2025-01-21,-0.9,-1.5,-0.5,96,0.0,,4.7,,1025.9,,8
2025-01-22,-0.3,-1.7,1.4,98,1.8,,5.3,,1021.4,,8
2025-01-23,0.4,0.0,0.6,98,0.8,2,3.4,,1018.6,,8
2025-01-24,1.4,0.1,2.4,98,1.0,,1.3,,1018.6,,8
2025-01-25,2.8,2.2,3.5,94,0.0,,4.6,,1022.8,,8
2025-01-26,5.0,1.8,7.4,92,0.0,,8.6,,1021.5,,8
2025-01-27,5.7,5.2,6.2,86,0.0,,10.0,,1017.5,,8
2025-01-28,5.9,5.3,6.8,89,0.0,,7.0,,1015.1,,8
2025-01-29,6.9,5.6,8.5,86,0.0,,7.5,,1015.3,,7
2025-01-30,6.2,3.2,11.6,83,0.0,,2.0,,1023.7,,3
2025-01-31,5.1,3.5,6.4,96,0.1,,4.5,,1025.2,,8
2025-02-01,3.9,1.5,6.3,76,0.0,,8.5,,1025.0,,7
2025-02-02,0.9,-0.2,2.1,73,0.1,,6.1,,1024.4,,7
2025-02-03,-0.3,-1.3,2.4,76,0.0,,6.3,,1021.4,,7
2025-02-04,-0.7,-1.2,-0.1,81,1.0,2,8.2,,1025.7,,7
2025-02-05,-1.8,-2.3,0.2,79,2.8,4,10.7,,1030.0,,7
2025-02-06,-1.4,-2.8,-0.5,80,0.0,4,5.4,,1037.7,,8
2025-02-07,-3.0,-5.7,-0.8,77,0.0,3,5.9,,1045.5,,7
2025-02-08,-5.4,-6.4,-4.8,81,0.0,3,4.0,,1047.0,,8
2025-02-09,-7.0,-8.1,-4.2,84,0.0,2,2.8,,1043.0,,7
2025-02-10,-6.1,-8.9,-3.0,84,0.0,2,3.7,,1037.4,,6
2025-02-11,-7.3,-8.4,-6.0,83,0.0,,3.4,,1040.0,,7
2025-02-12,-7.3,-10.5,-2.6,81,0.0,2,0.9,,1036.5,,3
2025-02-13,-5.5,-12.3,0.9,77,0.0,1,2.9,,1026.4,,3
2025-02-14,-2.5,-8.2,2.2,85,3.6,1,4.6,,1014.8,,5
2025-02-15,-6.2,-7.7,-4.4,75,2.0,5,8.6,,1017.5,,7
2025-02-16,-6.6,-8.5,-3.1,69,0.8,5,4.6,,1020.0,,5
2025-02-17,-6.3,-9.4,-3.5,69,0.8,9,4.6,,1025.4,,3
2025-02-18,-5.5,-9.7,-0.6,59,0.0,6,5.6,,1028.2,,3
2025-02-19,-4.7,-8.3,-0.7,65,0.4,4,7.1,,1028.7,,4
2025-02-20,-5.1,-6.5,-3.5,73,1.0,7,7.6,,1034.1,,4
2025-02-21,-6.4,-10.0,-2.7,60,0.0,6,4.1,,1041.2,,5
2025-02-22,-8.1,-12.2,-2.7,65,0.0,4,1.8,,1040.9,,1
2025-02-23,-4.4,-10.0,1.9,53,0.0,4,2.7,,1036.0,,2
2025-02-24,-2.4,-8.9,3.6,45,0.0,4,1.0,,1029.5,,0
2025-02-25,-2.8,-8.1,3.8,47,0.0,4,1.0,,1025.3,,1
2025-02-26,-1.6,-8.0,5.8,50,0.0,3,4.0,,1023.1,,2
2025-02-27,-0.9,-5.8,5.3,69,0.0,2,5.2,,1026.0,,4
2025-02-28,0.5,-2.7,5.1,67,0.0,,5.6,,1026.1,,7
2025-03-01,0.1,-1.3,1.1,78,0.8,1,6.3,,1026.8,,8
2025-03-02,0.9,-0.4,2.2,90,0.0,,2.1,,1024.4,,8
2025-03-03,2.6,0.7,4.4,82,0.0,,10.5,,1020.6,,8
2025-03-04,5.4,3.0,8.4,70,0.0,,13.7,,1017.1,,7
2025-03-05,8.1,4.0,11.0,59,0.0,,14.8,,1016.9,,6
2025-03-06,12.1,7.8,19.2,34,0.0,,16.1,,1018.7,,3
2025-03-07,12.9,7.0,20.1,40,0.0,,6.9,,1022.1,,2
2025-03-08,11.6,5.4,18.8,42,0.0,,1.6,,1020.6,,4
2025-03-09,11.1,3.1,20.0,40,0.0,,1.9,,1017.2,,2
